make,fuel-type,num-of-doors,body-style,drive-wheels,curb-weight,engine-size,highway-mpg,wheel-base,price
alfa-romero,gas,two,convertible,rwd,2548,130,27,88.6,13495.0
alfa-romero,gas,two,convertible,rwd,2548,130,27,88.6,16500.0
alfa-romero,gas,two,hatchback,rwd,2823,152,26,94.5,16500.0
audi,gas,four,sedan,fwd,2337,109,30,99.8,13950.0
audi,gas,four,sedan,4wd,2824,136,22,99.4,17450.0
audi,gas,two,sedan,fwd,2507,136,25,99.8,15250.0
audi,gas,four,sedan,fwd,2844,136,25,105.8,17710.0
audi,gas,four,wagon,fwd,2954,136,25,105.8,18920.0
audi,gas,four,sedan,fwd,3086,131,20,105.8,23875.0
bmw,gas,two,sedan,rwd,2395,108,29,101.2,16430.0
bmw,gas,four,sedan,rwd,2395,108,29,101.2,16925.0
bmw,gas,two,sedan,rwd,2710,164,28,101.2,20970.0
bmw,gas,four,sedan,rwd,2765,164,28,101.2,21105.0
bmw,gas,four,sedan,rwd,3055,164,25,103.5,24565.0
bmw,gas,four,sedan,rwd,3230,209,22,103.5,30760.0
bmw,gas,two,sedan,rwd,3380,209,22,103.5,41315.0
bmw,gas,four,sedan,rwd,3505,209,20,110.0,36880.0
chevrolet,gas,two,hatchback,fwd,1488,61,53,88.4,5151.0
chevrolet,gas,two,hatchback,fwd,1874,90,43,94.5,6295.0
chevrolet,gas,four,sedan,fwd,1909,90,43,94.5,6575.0
dodge,gas,two,hatchback,fwd,1876,90,41,93.7,5572.0
dodge,gas,two,hatchback,fwd,1876,90,38,93.7,6377.0
dodge,gas,two,hatchback,fwd,2128,98,30,93.7,7957.0
dodge,gas,four,hatchback,fwd,1967,90,38,93.7,6229.0
dodge,gas,four,sedan,fwd,1989,90,38,93.7,6692.0
dodge,gas,four,sedan,fwd,1989,90,38,93.7,7609.0
dodge,gas,?,sedan,fwd,2191,98,30,93.7,8558.0
dodge,gas,four,wagon,fwd,2535,122,30,103.3,8921.0
dodge,gas,two,hatchback,fwd,2811,156,24,95.9,12964.0
honda,gas,two,hatchback,fwd,1713,92,54,86.6,6479.0
honda,gas,two,hatchback,fwd,1819,92,38,86.6,6855.0
honda,gas,two,hatchback,fwd,1837,79,42,93.7,5399.0
honda,gas,two,hatchback,fwd,1940,92,34,93.7,6529.0
honda,gas,two,hatchback,fwd,1956,92,34,93.7,7129.0
honda,gas,four,sedan,fwd,2010,92,34,96.5,7295.0
honda,gas,four,wagon,fwd,2024,92,34,96.5,7295.0
honda,gas,two,hatchback,fwd,2236,110,33,96.5,7895.0
honda,gas,two,hatchback,fwd,2289,110,33,96.5,9095.0
honda,gas,four,sedan,fwd,2304,110,33,96.5,8845.0
honda,gas,four,sedan,fwd,2372,110,33,96.5,10295.0
honda,gas,four,sedan,fwd,2465,110,28,96.5,12945.0
honda,gas,two,sedan,fwd,2293,110,31,96.5,10345.0
isuzu,gas,four,sedan,rwd,2337,111,29,94.3,6785.0
isuzu,gas,two,hatchback,rwd,2734,119,29,96.0,11048.0
jaguar,gas,four,sedan,rwd,4066,258,19,113.0,32250.0
jaguar,gas,four,sedan,rwd,4066,258,19,113.0,35550.0
jaguar,gas,two,sedan,rwd,3950,326,17,102.0,36000.0
mazda,gas,two,hatchback,fwd,1890,91,31,93.1,5195.0
mazda,gas,two,hatchback,fwd,1900,91,38,93.1,6095.0
mazda,gas,two,hatchback,fwd,1905,91,38,93.1,6795.0
mazda,gas,four,sedan,fwd,1945,91,38,93.1,6695.0
mazda,gas,four,sedan,fwd,1950,91,38,93.1,7395.0
mazda,gas,two,hatchback,rwd,2380,70,23,95.3,10945.0
mazda,gas,two,hatchback,rwd,2380,70,23,95.3,11845.0
mazda,gas,two,hatchback,rwd,2385,70,23,95.3,13645.0
mazda,gas,two,hatchback,rwd,2500,80,23,95.3,15645.0
mazda,gas,two,hatchback,fwd,2385,122,32,98.8,8845.0
mazda,gas,four,sedan,fwd,2410,122,32,98.8,8495.0
mazda,gas,two,hatchback,fwd,2385,122,32,98.8,10595.0
mazda,gas,four,sedan,fwd,2410,122,32,98.8,10245.0
mazda,diesel,?,sedan,fwd,2443,122,42,98.8,10795.0
mazda,gas,four,hatchback,fwd,2425,122,32,98.8,11245.0
mazda,gas,four,sedan,rwd,2670,140,27,104.9,18280.0
mazda,diesel,four,sedan,rwd,2700,134,39,104.9,18344.0
mercedes-benz,diesel,four,sedan,rwd,3515,183,25,110.0,25552.0
mercedes-benz,diesel,four,wagon,rwd,3750,183,25,110.0,28248.0
mercedes-benz,diesel,two,hardtop,rwd,3495,183,25,106.7,28176.0
mercedes-benz,diesel,four,sedan,rwd,3770,183,25,115.6,31600.0
mercedes-benz,gas,four,sedan,rwd,3740,234,18,115.6,34184.0
mercedes-benz,gas,two,convertible,rwd,3685,234,18,96.6,35056.0
mercedes-benz,gas,four,sedan,rwd,3900,308,16,120.9,40960.0
mercedes-benz,gas,two,hardtop,rwd,3715,304,16,112.0,45400.0
mercury,gas,two,hatchback,rwd,2910,140,24,102.7,16503.0
mitsubishi,gas,two,hatchback,fwd,1918,92,41,93.7,5389.0
mitsubishi,gas,two,hatchback,fwd,1944,92,38,93.7,6189.0
mitsubishi,gas,two,hatchback,fwd,2004,92,38,93.7,6669.0
mitsubishi,gas,two,hatchback,fwd,2145,98,30,93.0,7689.0
mitsubishi,gas,two,hatchback,fwd,2370,110,30,96.3,9959.0
mitsubishi,gas,two,hatchback,fwd,2328,122,32,96.3,8499.0
mitsubishi,gas,two,hatchback,fwd,2833,156,24,95.9,12629.0
mitsubishi,gas,two,hatchback,fwd,2921,156,24,95.9,14869.0
